7.535091e-05,1.063581e-03,-2.501272e-04,-3.588329e-03,1.877380e-03,-2.524039e-03,-2.825299e-03,
2.918545e-02,4.080897e-01,-2.983670e-01,-7.628681e-01,-7.367574e-02,-1.582209e-01,7.985026e-02,
2.867658e-02,3.437879e-01,-3.962582e-01,5.860247e-01,-4.815370e-01,-1.387240e-01,7.822119e-02,
2.423607e-02,1.247210e-01,-9.035486e-02,2.558318e-01,8.318234e-01,-2.950293e-01,8.290464e-02,
6.986113e-01,-5.774141e-01,-9.100332e-04,-6.364971e-02,-1.301665e-01,-1.657594e-01,7.884204e-02,
-7.104878e-01,-5.562938e-01,-1.163609e-01,-6.378247e-02,-1.044139e-01,-1.645951e-01,7.931332e-02,
-6.991189e-02,2.379904e-01,8.548064e-01,2.263800e-02,-1.800326e-01,-2.134654e-01,7.347725e-02,
-3.897749e-04,1.378482e-02,3.845159e-02,2.123082e-02,9.464436e-02,8.227975e-01,4.328186e-01,
6.640355e-06,4.110213e-03,8.897587e-03,7.852727e-03,3.924784e-02,3.022692e-01,-8.802774e-01,
-1.882027e-06,1.603221e-04,3.455791e-04,3.105854e-04,2.232798e-03,1.325148e-02,-2.232464e-02,
