video number, frame number, cell number of x, cell number of y,KM1,KM2,KM3,KM4,KM5,KM6,KM7
10R.mp4,4,4,2,-555.727982,497.675290,-54.546127,-30.197556,-27.321932,-9.580506,5.677415
10R.mp4,4,4,3,-580.279084,400.126828,-64.678721,-47.259596,-58.357977,-42.937605,20.205456
10R.mp4,4,4,4,-478.937961,802.550780,11.834091,-3.013345,2.349925,6.431602,-0.809608
10R.mp4,5,1,1,-295.159715,792.838139,3.768139,-191.046105,144.488643,8.360021,4.535991
10R.mp4,5,1,2,-345.039402,928.218889,3.096472,-44.235525,20.377581,-4.533077,-4.967751
10R.mp4,5,1,3,-396.450386,786.660851,-1.460082,-72.169387,19.137093,-14.861583,2.810727
10R.mp4,5,1,4,-368.740593,867.020155,7.025684,-69.779153,52.158232,5.140799,-1.839995
10R.mp4,5,2,1,-268.465066,929.905509,2.590654,-134.305962,102.740490,5.643855,5.825331
10R.mp4,5,2,2,-349.783273,736.508148,-5.836626,-125.359806,54.039294,-17.097307,-23.460495
10R.mp4,5,2,3,-313.194751,686.882779,-12.349317,-170.459364,62.469654,-31.155347,-32.304312
10R.mp4,5,2,4,-262.340648,945.616944,1.836854,-129.188308,96.794052,3.915220,5.254549
10R.mp4,5,3,1,-407.292340,916.120395,7.713002,-2.100833,-1.672731,1.840871,0.522592
10R.mp4,5,3,2,-361.921970,726.379557,-114.620306,-33.129451,-54.732895,-13.648148,16.903633
10R.mp4,5,3,3,-409.607783,607.567092,-114.762776,-54.421293,-43.860911,-18.215898,19.584600
10R.mp4,5,3,4,-429.829792,864.404601,9.189593,-12.713200,8.088264,4.169239,0.353954
10R.mp4,5,4,1,-420.698469,819.356986,9.026724,-50.587149,37.700999,6.135467,1.747883
10R.mp4,5,4,2,-558.344154,491.885294,-54.433046,-31.306997,-26.642564,-9.543618,5.218625
10R.mp4,5,4,3,-577.879072,402.857713,-64.783910,-47.952128,-57.821546,-42.982206,20.247249
10R.mp4,5,4,4,-498.001575,764.782331,12.666952,-7.628590,5.737359,7.233704,-0.715787
10R.mp4,6,1,1,-293.726864,795.318520,3.699170,-191.597829,145.165425,8.497699,5.450984
10R.mp4,6,1,2,-337.966850,925.441705,3.029790,-53.588915,28.177164,-3.922700,-5.619333
10R.mp4,6,1,3,-383.752254,801.439283,-3.522993,-73.608374,21.006465,-13.740518,2.309100
10R.mp4,6,1,4,-368.275235,869.295815,6.986648,-70.834047,53.714232,5.647461,0.859524
10R.mp4,6,2,1,-268.283067,936.945179,2.583814,-130.059129,99.530610,5.450145,5.647541
10R.mp4,6,2,2,-356.282198,746.991379,0.831462,-113.118755,62.792801,-10.022210,-30.199037
10R.mp4,6,2,3,-318.834157,698.249052,-10.873801,-169.247246,78.878367,-18.738405,-26.936568
10R.mp4,6,2,4,-267.072765,932.240272,2.036617,-133.524973,100.299498,4.413773,6.296371
10R.mp4,6,3,1,-413.120666,922.403203,8.463738,6.996908,-6.724360,2.772735,-0.387613
10R.mp4,6,3,2,-371.133859,722.829713,-115.369894,-33.006924,-59.712228,-3.072950,15.749753
10R.mp4,6,3,3,-407.266562,602.081798,-117.757704,-55.154575,-41.074304,-19.285813,19.471334
10R.mp4,6,3,4,-429.397556,870.523257,9.171585,-9.297282,5.507942,4.004467,0.212455
10R.mp4,6,4,1,-421.005540,855.180064,9.046200,-27.737278,20.423522,5.133556,0.784517
10R.mp4,6,4,2,-556.627454,493.544398,-55.419572,-31.704730,-20.803141,-6.276455,4.743401
