video number, frame number, cell number of x, cell number of y, source, blockw, blockh, srcx, srcy, dstx, dsty
10R.mp4 ,2 ,3 ,2 ,-1 ,16 ,16 ,88 ,56, 88 ,56
10R.mp4 ,2 ,3 ,2 ,1 ,16 ,16 ,88 ,56, 88 ,56
10R.mp4 ,2 ,3 ,2 ,-1 ,16 ,16 ,104 ,56, 104 ,56
10R.mp4 ,2 ,3 ,2 ,-1 ,16 ,16 ,120 ,56, 120 ,56
10R.mp4 ,2 ,4 ,2 ,-1 ,16 ,16 ,136 ,56, 136 ,56
10R.mp4 ,2 ,4 ,2 ,1 ,16 ,16 ,136 ,56, 136 ,56
10R.mp4 ,2 ,4 ,2 ,-1 ,16 ,16 ,152 ,56, 152 ,56
10R.mp4 ,2 ,4 ,2 ,1 ,16 ,16 ,152 ,56, 152 ,56
10R.mp4 ,2 ,1 ,3 ,-1 ,16 ,16 ,8 ,72, 8 ,72
10R.mp4 ,2 ,1 ,3 ,1 ,16 ,16 ,8 ,72, 8 ,72
10R.mp4 ,2 ,1 ,3 ,-1 ,16 ,16 ,24 ,72, 24 ,72
10R.mp4 ,2 ,1 ,3 ,1 ,16 ,16 ,24 ,72, 24 ,72
10R.mp4 ,2 ,2 ,3 ,-1 ,16 ,16 ,56 ,72, 56 ,72
10R.mp4 ,2 ,2 ,3 ,1 ,16 ,16 ,56 ,72, 56 ,72
10R.mp4 ,2 ,2 ,3 ,-1 ,16 ,16 ,72 ,72, 72 ,72
10R.mp4 ,2 ,2 ,3 ,1 ,16 ,16 ,72 ,72, 72 ,72
10R.mp4 ,2 ,3 ,3 ,-1 ,16 ,16 ,88 ,72, 88 ,72
10R.mp4 ,2 ,3 ,3 ,1 ,16 ,16 ,88 ,72, 88 ,72
10R.mp4 ,2 ,3 ,3 ,-1 ,16 ,16 ,104 ,72, 104 ,72
10R.mp4 ,2 ,3 ,3 ,1 ,16 ,16 ,104 ,72, 104 ,72
10R.mp4 ,2 ,3 ,3 ,-1 ,16 ,16 ,120 ,72, 120 ,72
10R.mp4 ,2 ,3 ,3 ,1 ,16 ,16 ,120 ,72, 120 ,72
10R.mp4 ,2 ,4 ,3 ,-1 ,16 ,16 ,136 ,72, 136 ,72
10R.mp4 ,2 ,4 ,3 ,1 ,16 ,16 ,136 ,72, 136 ,72
10R.mp4 ,2 ,4 ,3 ,-1 ,16 ,16 ,152 ,72, 152 ,72
10R.mp4 ,2 ,4 ,3 ,1 ,16 ,16 ,152 ,72, 152 ,72
10R.mp4 ,2 ,1 ,3 ,-1 ,16 ,16 ,8 ,88, 8 ,88
10R.mp4 ,2 ,1 ,3 ,1 ,16 ,16 ,8 ,88, 8 ,88
10R.mp4 ,2 ,1 ,3 ,-1 ,16 ,16 ,24 ,88, 24 ,88
10R.mp4 ,2 ,1 ,3 ,1 ,16 ,16 ,24 ,88, 24 ,88
10R.mp4 ,2 ,1 ,3 ,-1 ,16 ,16 ,40 ,88, 40 ,88
10R.mp4 ,2 ,1 ,3 ,1 ,16 ,16 ,40 ,88, 40 ,88
10R.mp4 ,2 ,2 ,3 ,-1 ,16 ,16 ,56 ,88, 56 ,88
10R.mp4 ,2 ,2 ,3 ,1 ,16 ,16 ,56 ,88, 56 ,88
10R.mp4 ,2 ,2 ,3 ,-1 ,16 ,16 ,72 ,88, 72 ,88
10R.mp4 ,2 ,2 ,3 ,1 ,16 ,16 ,72 ,88, 72 ,88
10R.mp4 ,2 ,3 ,3 ,-1 ,16 ,16 ,88 ,88, 88 ,88
10R.mp4 ,2 ,3 ,3 ,1 ,16 ,16 ,88 ,88, 88 ,88
10R.mp4 ,2 ,3 ,3 ,-1 ,16 ,16 ,104 ,88, 104 ,88
10R.mp4 ,2 ,3 ,3 ,1 ,16 ,16 ,104 ,88, 104 ,88
10R.mp4 ,2 ,3 ,3 ,-1 ,16 ,16 ,120 ,88, 120 ,88
10R.mp4 ,2 ,3 ,3 ,1 ,16 ,16 ,120 ,88, 120 ,88
10R.mp4 ,2 ,4 ,3 ,-1 ,16 ,16 ,136 ,88, 136 ,88
10R.mp4 ,2 ,4 ,3 ,1 ,16 ,16 ,136 ,88, 136 ,88
10R.mp4 ,2 ,4 ,3 ,-1 ,16 ,16 ,152 ,88, 152 ,88
10R.mp4 ,2 ,4 ,3 ,1 ,16 ,16 ,152 ,88, 152 ,88
10R.mp4 ,2 ,1 ,4 ,-1 ,16 ,16 ,8 ,104, 8 ,104
10R.mp4 ,2 ,1 ,4 ,1 ,16 ,16 ,8 ,104, 8 ,104
10R.mp4 ,2 ,1 ,4 ,-1 ,16 ,16 ,24 ,104, 24 ,104
10R.mp4 ,2 ,1 ,4 ,1 ,16 ,16 ,24 ,104, 24 ,104
10R.mp4 ,2 ,1 ,4 ,-1 ,16 ,16 ,40 ,104, 40 ,104
10R.mp4 ,2 ,1 ,4 ,1 ,16 ,16 ,40 ,104, 40 ,104
10R.mp4 ,2 ,2 ,4 ,-1 ,16 ,16 ,56 ,104, 56 ,104
10R.mp4 ,2 ,2 ,4 ,1 ,16 ,16 ,56 ,104, 56 ,104
10R.mp4 ,2 ,2 ,4 ,-1 ,16 ,16 ,72 ,104, 72 ,104
