6x_SQ_BL_TM_BR_Check.mp4,2,1,-190.718435,-20.963202,0.451202,-0.030739,-0.651557
6x_SQ_BL_TM_BR_Check.mp4,2,1,-190.718442,-20.963186,0.441916,0.201793,1.277854
6x_SQ_BL_TM_BR_Check.mp4,2,1,-176.578885,-3.297619,0.437532,-0.041064,-0.650952
6x_SQ_BL_TM_BR_Check.mp4,2,1,-176.578892,-3.297603,0.428245,0.191468,1.278459
6x_SQ_BL_TM_BR_Check.mp4,2,1,-162.439335,14.367965,0.423862,-0.051389,-0.650347
6x_SQ_BL_TM_BR_Check.mp4,2,1,-162.439342,14.367980,0.414575,0.181143,1.279064
6x_SQ_BL_TM_BR_Check.mp4,2,2,-148.299785,32.033548,0.410192,-0.061714,-0.649742
6x_SQ_BL_TM_BR_Check.mp4,2,2,-148.299792,32.033563,0.400905,0.170818,1.279669
6x_SQ_BL_TM_BR_Check.mp4,2,2,-134.160235,49.699131,0.396522,-0.072039,-0.649137
6x_SQ_BL_TM_BR_Check.mp4,2,2,-134.160242,49.699146,0.387235,0.160493,1.280274
6x_SQ_BL_TM_BR_Check.mp4,2,2,-120.020685,67.364714,0.382852,-0.082364,-0.648532
6x_SQ_BL_TM_BR_Check.mp4,2,2,-120.020692,67.364729,0.373565,0.150168,1.280879
6x_SQ_BL_TM_BR_Check.mp4,2,3,-105.881135,85.030297,0.369181,-0.092689,-0.647927
6x_SQ_BL_TM_BR_Check.mp4,2,3,-105.881141,85.030312,0.359895,0.139843,1.281484
6x_SQ_BL_TM_BR_Check.mp4,2,3,-91.741584,102.695880,0.355511,-0.103014,-0.647322
6x_SQ_BL_TM_BR_Check.mp4,2,3,-91.741591,102.695895,0.346225,0.129518,1.282088
6x_SQ_BL_TM_BR_Check.mp4,2,3,-77.602034,120.361463,0.341841,-0.113339,-0.646717
6x_SQ_BL_TM_BR_Check.mp4,2,3,-77.602041,120.361478,0.332555,0.119193,1.282693
6x_SQ_BL_TM_BR_Check.mp4,2,4,-63.462484,138.027046,0.328171,-0.123664,-0.646112
6x_SQ_BL_TM_BR_Check.mp4,2,4,-63.462491,138.027061,0.318884,0.108868,1.283298
6x_SQ_BL_TM_BR_Check.mp4,2,4,-49.322934,155.692629,0.314501,-0.133989,-0.645508
6x_SQ_BL_TM_BR_Check.mp4,2,4,-49.322941,155.692644,0.305214,0.098543,1.283903
6x_SQ_BL_TM_BR_Check.mp4,2,4,-35.183384,173.358212,0.300831,-0.144315,-0.644903
