4 10
Video,Frame,Cell,Histogram
10,7,7,0#0#5#30#146#761#209#34#14#1#
10,7,8,0#0#0#3#28#962#207#0#0#0#
10,7,9,0#0#0#2#169#991#38#0#0#0#
10,7,10,0#9#110#88#191#774#28#0#0#0#
10,7,11,0#23#107#99#249#673#49#0#0#0#
10,7,12,0#0#0#2#198#949#51#0#0#0#
10,7,13,0#0#0#1#204#920#75#0#0#0#
10,7,14,0#16#58#55#415#616#34#5#1#0#
10,7,15,0#21#51#122#458#516#27#5#0#0#
10,7,16,0#0#0#1#307#839#53#0#0#0#
10,8,1,0#0#0#2#88#835#274#1#0#0#
10,8,2,0#0#0#13#100#968#94#19#6#0#
10,8,3,0#0#3#36#171#867#101#17#3#2#
10,8,4,0#0#0#6#123#943#126#2#0#0#
10,8,5,0#0#0#0#27#978#195#0#0#0#
10,8,6,0#3#3#23#132#810#182#36#10#1#
10,8,7,0#0#10#39#122#791#192#33#12#1#
10,8,8,0#0#0#1#17#977#205#0#0#0#
10,8,9,0#0#0#1#168#991#40#0#0#0#
10,8,10,0#9#101#84#177#813#16#0#0#0#
10,8,11,0#21#115#91#222#717#34#0#0#0#
10,8,12,0#0#0#2#161#1002#35#0#0#0#
10,8,13,0#0#0#1#198#930#71#0#0#0#
10,8,14,0#15#60#46#373#674#26#5#1#0#
10,8,15,0#19#52#109#469#527#19#5#0#0#
10,8,16,0#0#0#0#262#894#44#0#0#0#
10,9,1,0#0#0#2#88#835#274#1#0#0#
10,9,2,0#0#0#15#111#950#90#24#9#1#
10,9,3,0#0#4#46#183#825#114#19#8#1#
10,9,4,0#0#0#4#133#938#123#2#0#0#
10,9,5,0#0#0#0#27#978#195#0#0#0#
10,9,6,0#4#4#20#136#821#192#14#9#0#
10,9,7,0#1#5#44#149#772#197#26#6#0#
10,9,8,0#0#0#0#13#962#225#0#0#0#
10,9,9,0#0#0#1#170#988#41#0#0#0#
10,9,10,0#12#100#85#184#792#27#0#0#0#
10,9,11,0#28#117#84#246#682#43#0#0#0#
10,9,12,0#0#0#3#186#977#34#0#0#0#
10,9,13,0#0#0#1#200#928#71#0#0#0#
10,9,14,0#16#57#46#395#653#28#3#2#0#
10,9,15,0#21#60#104#460#527#22#6#0#0#
10,9,16,0#0#0#1#297#852#49#0#1#0#
10,10,1,0#0#0#2#91#818#288#1#0#0#
10,10,2,0#0#1#18#120#935#93#19#13#1#
10,10,3,0#0#4#54#191#821#101#18#8#3#
10,10,4,0#0#0#0#135#930#133#2#0#0#
10,10,5,0#0#0#0#27#959#214#0#0#0#
10,10,6,0#6#3#24#124#826#206#7#4#0#
10,10,7,0#2#14#51#119#788#208#17#1#0#
10,10,8,0#0#0#0#18#963#219#0#0#0#
10,10,9,0#0#0#2#160#988#50#0#0#0#
10,10,10,0#10#95#90#197#775#33#0#0#0#
10,10,11,0#28#119#89#252#677#35#0#0#0#
10,10,12,0#0#0#3#202#951#44#0#0#0#
10,10,13,0#0#0#0#205#906#89#0#0#0#
10,10,14,0#12#60#48#407#636#32#4#1#0#
10,10,15,0#22#63#104#455#529#22#5#0#0#
10,10,16,0#0#0#3#303#833#60#0#1#0#
10,11,1,0#0#0#2#91#818#288#1#0#0#
10,11,2,0#0#0#18#147#909#92#20#12#2#
10,11,3,0#0#6#56#196#813#105#14#6#4#
10,11,4,0#0#0#0#134#931#133#2#0#0#
10,11,5,0#0#0#0#27#959#214#0#0#0#
10,11,6,0#5#5#24#136#818#210#2#0#0#
10,11,7,0#7#9#59#116#798#202#9#0#0#
10,11,8,0#0#0#0#18#960#222#0#0#0#
10,11,9,0#0#0#2#160#986#52#0#0#0#
10,11,10,0#10#93#92#200#771#34#0#0#0#
10,11,11,0#28#121#87#256#673#35#0#0#0#
10,11,12,0#0#0#3#203#950#44#0#0#0#
10,11,13,0#0#0#0#196#910#94#0#0#0#
10,11,14,0#12#60#48#407#636#32#4#1#0#
10,11,15,0#22#63#108#449#531#23#4#0#0#
10,11,16,0#0#0#3#307#829#60#0#1#0#
10,12,1,0#0#0#1#77#830#289#3#0#0#
10,12,2,0#0#1#21#141#909#104#17#7#0#
