4 10
Video,Frame,Cell,Histogram
2,67,3,0#0#0#0#39#1121#40#0#0#0#
2,67,4,0#0#0#0#37#1123#40#0#0#0#
2,67,5,0#0#0#0#103#1091#6#0#0#0#
2,67,6,0#0#0#0#251#949#0#0#0#0#
2,67,7,0#0#0#1#305#894#0#0#0#0#
2,67,8,0#0#0#0#316#884#0#0#0#0#
2,67,9,0#0#0#0#228#965#7#0#0#0#
2,67,10,0#0#0#1#181#1009#9#0#0#0#
2,67,11,0#0#0#0#175#985#40#0#0#0#
2,67,12,0#0#0#0#169#957#74#0#0#0#
2,67,13,0#0#0#0#1007#193#0#0#0#0#
2,67,14,0#0#0#0#1017#183#0#0#0#0#
2,67,15,0#0#0#4#993#203#0#0#0#0#
2,67,16,0#0#0#1#891#308#0#0#0#0#
2,68,1,0#0#0#0#59#1101#40#0#0#0#
2,68,2,0#0#0#0#76#1084#40#0#0#0#
2,68,3,0#0#0#0#30#1130#40#0#0#0#
2,68,4,0#0#0#0#28#1132#40#0#0#0#
2,68,5,0#0#0#0#91#1101#8#0#0#0#
2,68,6,0#0#0#0#218#981#1#0#0#0#
2,68,7,0#0#0#1#285#914#0#0#0#0#
2,68,8,0#0#0#0#294#906#0#0#0#0#
2,68,9,0#0#0#0#215#978#7#0#0#0#
2,68,10,0#0#0#1#176#1014#9#0#0#0#
2,68,11,0#0#0#0#173#981#46#0#0#0#
2,68,12,0#0#0#0#163#961#76#0#0#0#
2,68,13,0#0#0#0#998#202#0#0#0#0#
2,68,14,0#0#0#0#1015#185#0#0#0#0#
2,68,15,0#0#0#2#993#205#0#0#0#0#
2,68,16,0#0#0#1#880#319#0#0#0#0#
2,69,1,0#0#0#0#68#1092#40#0#0#0#
2,69,2,0#0#0#0#84#1076#40#0#0#0#
2,69,3,0#0#0#0#37#1123#40#0#0#0#
2,69,4,0#0#0#0#29#1131#40#0#0#0#
2,69,5,0#0#0#0#97#1094#9#0#0#0#
2,69,6,0#0#0#0#243#956#1#0#0#0#
2,69,7,0#0#0#1#313#886#0#0#0#0#
2,69,8,0#0#0#0#311#889#0#0#0#0#
2,69,9,0#0#0#0#222#974#4#0#0#0#
2,69,10,0#0#0#0#193#993#14#0#0#0#
2,69,11,0#0#0#0#187#972#41#0#0#0#
2,69,12,0#0#0#0#167#953#80#0#0#0#
2,69,13,0#0#0#1#988#211#0#0#0#0#
2,69,14,0#0#0#0#1015#185#0#0#0#0#
2,69,15,0#0#0#1#1005#194#0#0#0#0#
2,69,16,0#0#0#2#899#299#0#0#0#0#
2,70,1,0#0#0#0#37#1124#39#0#0#0#
2,70,2,0#0#0#0#51#1109#40#0#0#0#
2,70,3,0#0#0#0#24#1136#40#0#0#0#
2,70,4,0#0#0#0#13#1147#40#0#0#0#
2,70,5,0#0#0#0#62#1135#3#0#0#0#
2,70,6,0#0#0#0#166#1034#0#0#0#0#
2,70,7,0#0#0#0#277#923#0#0#0#0#
2,70,8,0#0#0#0#278#922#0#0#0#0#
2,70,9,0#0#0#0#204#994#2#0#0#0#
2,70,10,0#0#0#0#160#1035#5#0#0#0#
2,70,11,0#0#0#0#151#1034#15#0#0#0#
2,70,12,0#0#0#0#148#996#56#0#0#0#
2,70,13,0#0#0#0#996#204#0#0#0#0#
2,70,14,0#0#0#0#1044#156#0#0#0#0#
2,70,15,0#0#0#0#1020#180#0#0#0#0#
2,70,16,0#0#0#0#901#299#0#0#0#0#
2,71,1,0#0#0#0#49#1115#36#0#0#0#
2,71,2,0#0#0#0#54#1106#40#0#0#0#
2,71,3,0#0#0#0#24#1136#40#0#0#0#
2,71,4,0#0#0#0#19#1141#40#0#0#0#
2,71,5,0#0#0#0#80#1115#5#0#0#0#
2,71,6,0#0#0#0#180#1018#2#0#0#0#
2,71,7,0#0#0#0#279#921#0#0#0#0#
2,71,8,0#0#0#0#304#896#0#0#0#0#
2,71,9,0#0#0#0#217#981#2#0#0#0#
2,71,10,0#0#0#1#174#1021#4#0#0#0#
2,71,11,0#0#0#0#174#1007#19#0#0#0#
2,71,12,0#0#0#0#162#973#65#0#0#0#
2,71,13,0#0#0#0#1003#197#0#0#0#0#
2,71,14,0#0#0#0#1028#172#0#0#0#0#
2,71,15,0#0#0#0#1031#169#0#0#0#0#
2,71,16,0#0#0#1#907#292#0#0#0#0#
2,72,1,0#0#0#0#77#1087#36#0#0#0#
2,72,2,0#0#0#0#79#1082#39#0#0#0#
2,72,3,0#0#0#0#32#1128#40#0#0#0#
2,72,4,0#0#0#0#30#1130#40#0#0#0#
2,72,5,0#0#0#0#79#1118#3#0#0#0#
2,72,6,0#0#0#0#184#1016#0#0#0#0#
2,72,7,0#0#0#0#272#927#1#0#0#0#
2,72,8,0#0#0#0#294#905#1#0#0#0#
2,72,9,0#0#0#0#260#939#1#0#0#0#
2,72,10,0#0#0#1#204#993#2#0#0#0#
2,72,11,0#0#0#0#179#981#40#0#0#0#
2,72,12,0#0#0#1#182#960#57#0#0#0#
2,72,13,0#0#0#0#1015#185#0#0#0#0#
2,72,14,0#0#0#0#1028#172#0#0#0#0#
2,72,15,0#0#0#0#1011#189#0#0#0#0#
2,72,16,0#0#0#1#904#295#0#0#0#0#
2,73,1,0#0#0#0#77#1087#36#0#0#0#
2,73,2,0#0#0#0#79#1082#39#0#0#0#
2,73,3,0#0#0#0#32#1128#40#0#0#0#
2,73,4,0#0#0#0#30#1130#40#0#0#0#
2,73,5,0#0#0#0#79#1118#3#0#0#0#
2,73,6,0#0#0#0#184#1016#0#0#0#0#
2,73,7,0#0#0#0#272#927#1#0#0#0#
2,73,8,0#0#0#0#294#905#1#0#0#0#
2,73,9,0#0#0#0#260#939#1#0#0#0#
2,73,10,0#0#0#1#204#993#2#0#0#0#
2,73,11,0#0#0#0#179#981#40#0#0#0#
2,73,12,0#0#0#1#183#958#58#0#0#0#
2,73,13,0#0#0#0#1014#186#0#0#0#0#
2,73,14,0#0#0#0#1028#172#0#0#0#0#
2,73,15,0#0#0#0#1015#185#0#0#0#0#
2,73,16,0#0#0#1#908#291#0#0#0#0#
2,74,1,0#0#0#0#74#1089#37#0#0#0#
2,74,2,0#0#0#0#73#1087#40#0#0#0#
2,74,3,0#0#0#0#26#1134#40#0#0#0#
2,74,4,0#0#0#0#27#1133#40#0#0#0#
2,74,5,0#0#0#0#58#1137#5#0#0#0#
2,74,6,0#0#0#0#169#1031#0#0#0#0#
2,74,7,0#0#0#0#269#930#1#0#0#0#
2,74,8,0#0#0#0#287#912#1#0#0#0#
2,74,9,0#0#0#0#235#965#0#0#0#0#
2,74,10,0#0#0#1#184#1012#3#0#0#0#
2,74,11,0#0#0#0#166#1001#33#0#0#0#
2,74,12,0#0#0#1#178#955#66#0#0#0#
2,74,13,0#0#0#0#1029#171#0#0#0#0#
2,74,14,0#0#0#1#1030#169#0#0#0#0#
2,74,15,0#0#0#0#1014#186#0#0#0#0#
2,74,16,0#0#0#1#896#303#0#0#0#0#
2,75,1,0#0#0#0#77#1086#37#0#0#0#
2,75,2,0#0#0#0#83#1077#40#0#0#0#
2,75,3,0#0#0#0#32#1129#39#0#0#0#
2,75,4,0#0#0#0#30#1130#40#0#0#0#
2,75,5,0#0#0#0#74#1120#6#0#0#0#
2,75,6,0#0#0#0#204#996#0#0#0#0#
2,75,7,0#0#0#0#289#911#0#0#0#0#
2,75,8,0#0#0#0#313#886#1#0#0#0#
2,75,9,0#0#0#0#256#942#2#0#0#0#
2,75,10,0#0#0#1#202#992#5#0#0#0#
2,75,11,0#0#0#0#191#973#36#0#0#0#
2,75,12,0#0#0#1#186#933#80#0#0#0#
2,75,13,0#0#0#0#1024#176#0#0#0#0#
2,75,14,0#0#0#2#1023#175#0#0#0#0#
2,75,15,0#0#0#1#1021#178#0#0#0#0#
2,75,16,0#0#0#1#908#291#0#0#0#0#
3,1,1,0#0#0#0#51#1109#40#0#0#0#
3,1,2,0#0#0#0#55#1105#40#0#0#0#
3,1,3,0#0#0#0#62#1101#37#0#0#0#
3,1,4,0#0#0#0#14#1146#40#0#0#0#
3,1,5,0#0#0#0#26#1172#2#0#0#0#
3,1,6,0#0#0#0#76#1118#6#0#0#0#
3,1,7,0#0#0#0#157#1030#13#0#0#0#
3,1,8,0#0#0#0#220#958#22#0#0#0#
3,1,9,0#0#0#0#387#813#0#0#0#0#
3,1,10,0#0#0#0#332#860#8#0#0#0#
3,1,11,0#0#0#0#307#875#18#0#0#0#
3,1,12,0#0#0#0#280#900#20#0#0#0#
3,1,13,0#0#0#0#1070#130#0#0#0#0#
3,1,14,0#0#0#0#1120#80#0#0#0#0#
3,1,15,0#0#0#1#1116#83#0#0#0#0#
3,1,16,0#0#0#2#1095#103#0#0#0#0#
3,2,1,0#0#0#0#50#1110#40#0#0#0#
3,2,2,0#0#0#0#53#1107#40#0#0#0#
3,2,3,0#0#0#0#59#1104#37#0#0#0#
3,2,4,0#0#0#0#14#1146#40#0#0#0#
3,2,5,0#0#0#0#26#1172#2#0#0#0#
3,2,6,0#0#0#0#72#1122#6#0#0#0#
3,2,7,0#0#0#0#146#1043#11#0#0#0#
3,2,8,0#0#0#0#217#960#23#0#0#0#
3,2,9,0#0#0#0#380#820#0#0#0#0#
3,2,10,0#0#0#0#325#867#8#0#0#0#
3,2,11,0#0#0#0#303#878#19#0#0#0#
3,2,12,0#0#0#0#274#906#20#0#0#0#
3,2,13,0#0#0#0#1070#130#0#0#0#0#
3,2,14,0#0#0#0#1122#78#0#0#0#0#
3,2,15,0#0#0#1#1115#84#0#0#0#0#
3,2,16,0#0#0#2#1095#103#0#0#0#0#
3,3,1,0#0#0#0#50#1110#40#0#0#0#
3,3,2,0#0#0#0#57#1103#40#0#0#0#
3,3,3,0#0#0#0#59#1104#37#0#0#0#
3,3,4,0#0#0#0#14#1146#40#0#0#0#
3,3,5,0#0#0#0#26#1172#2#0#0#0#
3,3,6,0#0#0#0#71#1124#5#0#0#0#
3,3,7,0#0#0#0#144#1047#9#0#0#0#
3,3,8,0#0#0#0#216#961#23#0#0#0#
3,3,9,0#0#0#0#378#822#0#0#0#0#
3,3,10,0#0#0#0#331#861#8#0#0#0#
3,3,11,0#0#0#0#307#875#18#0#0#0#
3,3,12,0#1#4#7#277#891#20#0#0#0#
3,3,13,0#0#0#0#1070#130#0#0#0#0#
3,3,14,0#0#0#0#1122#78#0#0#0#0#
3,3,15,0#0#0#1#1116#83#0#0#0#0#
3,3,16,0#0#0#2#1097#101#0#0#0#0#
3,4,1,0#0#0#0#50#1110#40#0#0#0#
3,4,2,0#0#0#0#56#1104#40#0#0#0#
3,4,3,0#0#0#0#42#1121#37#0#0#0#
3,4,4,0#0#0#1#29#1130#40#0#0#0#
3,4,5,0#0#0#0#25#1173#2#0#0#0#
3,4,6,0#0#0#0#47#1148#5#0#0#0#
3,4,7,0#0#0#0#119#1074#7#0#0#0#
3,4,8,1#14#12#12#144#996#21#0#0#0#
3,4,9,0#0#0#0#378#822#0#0#0#0#
3,4,10,0#0#0#0#316#880#4#0#0#0#
3,4,11,0#0#0#0#307#877#16#0#0#0#
3,4,12,1#118#33#27#293#709#19#0#0#0#
3,4,13,0#0#0#0#1078#122#0#0#0#0#
3,4,14,0#0#0#1#1138#61#0#0#0#0#
3,4,15,0#0#0#1#1115#84#0#0#0#0#
3,4,16,0#10#33#34#1089#34#0#0#0#0#
3,5,1,0#0#0#0#50#1110#40#0#0#0#
3,5,2,0#0#0#0#56#1104#40#0#0#0#
3,5,3,0#0#0#0#24#1139#37#0#0#0#
3,5,4,0#25#37#35#56#1007#40#0#0#0#
3,5,5,0#0#0#0#25#1173#2#0#0#0#
3,5,6,0#0#0#0#47#1148#5#0#0#0#
3,5,7,0#0#0#0#134#1061#5#0#0#0#
3,5,8,0#89#90#29#134#836#22#0#0#0#
3,5,9,0#0#0#0#378#822#0#0#0#0#
3,5,10,0#0#0#0#313#883#4#0#0#0#
3,5,11,0#0#0#0#314#870#16#0#0#0#
3,5,12,0#188#40#43#279#636#14#0#0#0#
3,5,13,0#0#0#0#1077#123#0#0#0#0#
3,5,14,0#0#0#0#1141#59#0#0#0#0#
3,5,15,0#0#0#1#1127#72#0#0#0#0#
3,5,16,0#41#54#45#1038#22#0#0#0#0#
3,6,1,0#0#0#0#44#1116#40#0#0#0#
3,6,2,0#0#0#0#56#1104#40#0#0#0#
3,6,3,0#0#0#0#22#1141#37#0#0#0#
3,6,4,0#30#60#52#72#946#40#0#0#0#
3,6,5,0#0#0#0#16#1182#2#0#0#0#
3,6,6,0#0#0#0#46#1151#3#0#0#0#
3,6,7,0#0#0#0#113#1082#5#0#0#0#
3,6,8,0#215#142#31#162#625#23#2#0#0#
3,6,9,0#0#0#0#382#817#1#0#0#0#
3,6,10,0#0#0#0#333#863#4#0#0#0#
3,6,11,0#0#0#0#337#852#11#0#0#0#
3,6,12,1#240#48#30#278#601#2#0#0#0#
3,6,13,0#0#0#1#1059#140#0#0#0#0#
3,6,14,0#0#0#0#1150#50#0#0#0#0#
3,6,15,0#0#0#2#1145#53#0#0#0#0#
3,6,16,0#45#52#63#1007#33#0#0#0#0#
3,7,1,0#0#0#0#49#1111#40#0#0#0#
3,7,2,0#0#0#0#57#1103#40#0#0#0#
3,7,3,0#0#0#0#30#1133#37#0#0#0#
3,7,4,0#20#69#44#93#934#40#0#0#0#
3,7,5,0#0#0#0#20#1178#2#0#0#0#
3,7,6,0#0#0#0#67#1128#5#0#0#0#
3,7,7,0#0#0#0#171#1022#7#0#0#0#
3,7,8,0#245#185#60#228#467#15#0#0#0#
3,7,9,0#0#0#0#383#816#1#0#0#0#
3,7,10,0#0#0#0#333#863#4#0#0#0#
3,7,11,0#0#0#0#341#847#12#0#0#0#
3,7,12,0#345#58#49#302#439#7#0#0#0#
3,7,13,0#0#0#2#1057#141#0#0#0#0#
3,7,14,0#0#0#0#1152#48#0#0#0#0#
3,7,15,0#0#0#2#1142#56#0#0#0#0#
3,7,16,0#69#53#66#980#32#0#0#0#0#
3,8,1,0#0#0#0#60#1100#40#0#0#0#
3,8,2,0#0#0#1#72#1087#40#0#0#0#
3,8,3,0#0#0#0#53#1111#36#0#0#0#
3,8,4,0#27#52#40#93#949#39#0#0#0#
3,8,5,0#0#0#0#37#1157#6#0#0#0#
3,8,6,0#0#0#0#72#1125#3#0#0#0#
3,8,7,0#0#0#0#166#1026#8#0#0#0#
3,8,8,0#220#161#65#220#512#21#1#0#0#
3,8,9,0#0#0#0#393#806#1#0#0#0#
3,8,10,0#0#0#0#349#844#7#0#0#0#
3,8,11,0#0#0#0#348#838#14#0#0#0#
3,8,12,1#414#59#43#273#399#11#0#0#0#
3,8,13,0#0#0#1#1051#148#0#0#0#0#
3,8,14,0#0#0#2#1132#66#0#0#0#0#
3,8,15,0#0#0#13#1135#52#0#0#0#0#
3,8,16,0#71#49#55#990#35#0#0#0#0#
3,9,1,0#0#0#0#60#1100#40#0#0#0#
3,9,2,0#0#0#1#72#1087#40#0#0#0#
3,9,3,0#0#0#0#59#1105#36#0#0#0#
3,9,4,0#30#48#34#79#970#39#0#0#0#
3,9,5,0#0#0#0#37#1157#6#0#0#0#
3,9,6,0#0#0#0#72#1125#3#0#0#0#
3,9,7,0#0#0#0#185#1003#12#0#0#0#
3,9,8,0#182#173#50#219#540#35#1#0#0#
3,9,9,0#0#0#0#393#806#1#0#0#0#
3,9,10,0#0#0#0#349#844#7#0#0#0#
3,9,11,0#0#0#0#347#837#16#0#0#0#
3,9,12,2#489#52#49#174#409#25#0#0#0#
3,9,13,0#0#0#1#1051#148#0#0#0#0#
3,9,14,0#0#0#2#1132#66#0#0#0#0#
3,9,15,0#0#0#10#1139#51#0#0#0#0#
3,9,16,0#70#46#56#993#35#0#0#0#0#
3,10,1,0#0#0#0#50#1110#40#0#0#0#
3,10,2,0#0#0#0#62#1098#40#0#0#0#
3,10,3,0#0#0#5#59#1100#36#0#0#0#
3,10,4,0#30#51#31#49#999#40#0#0#0#
3,10,5,0#0#0#0#27#1162#11#0#0#0#
3,10,6,0#0#0#0#51#1144#5#0#0#0#
3,10,7,0#4#9#7#153#1006#19#2#0#0#
3,10,8,0#134#194#50#157#637#28#0#0#0#
3,10,9,0#0#0#0#356#841#3#0#0#0#
3,10,10,0#0#0#0#326#868#6#0#0#0#
3,10,11,0#12#8#7#321#835#17#0#0#0#
3,10,12,1#389#47#49#147#535#32#0#0#0#
3,10,13,0#0#0#0#1041#159#0#0#0#0#
3,10,14,0#0#0#1#1124#75#0#0#0#0#
3,10,15,0#0#0#8#1146#46#0#0#0#0#
3,10,16,0#74#50#53#968#55#0#0#0#0#
3,11,1,0#0#0#0#60#1100#40#0#0#0#
3,11,2,0#0#0#0#68#1092#40#0#0#0#
3,11,3,0#27#39#26#75#995#38#0#0#0#
3,11,4,0#8#12#10#49#1081#40#0#0#0#
3,11,5,0#0#0#0#31#1155#14#0#0#0#
3,11,6,0#0#0#0#65#1126#9#0#0#0#
3,11,7,0#70#116#23#145#817#28#1#0#0#
3,11,8,0#56#148#27#163#765#41#0#0#0#
3,11,9,0#0#0#0#345#853#2#0#0#0#
3,11,10,0#0#0#0#320#871#9#0#0#0#
3,11,11,0#172#22#19#303#669#15#0#0#0#
3,11,12,0#216#38#36#170#697#43#0#0#0#
3,11,13,0#0#0#2#1032#166#0#0#0#0#
3,11,14,0#0#0#0#1124#76#0#0#0#0#
3,11,15,0#0#0#18#1136#46#0#0#0#0#
3,11,16,0#78#53#55#903#111#0#0#0#0#
3,12,1,0#0#0#0#29#1131#40#0#0#0#
3,12,2,0#0#0#0#51#1109#40#0#0#0#
3,12,3,0#39#65#40#79#938#39#0#0#0#
3,12,4,0#0#0#0#17#1144#39#0#0#0#
3,12,5,0#0#0#0#17#1173#10#0#0#0#
3,12,6,0#0#0#0#36#1154#10#0#0#0#
3,12,7,0#138#255#40#78#666#22#1#0#0#
3,12,8,0#14#35#17#119#978#37#0#0#0#
3,12,9,0#0#0#0#292#907#1#0#0#0#
3,12,10,0#0#0#0#279#910#11#0#0#0#
3,12,11,2#382#35#36#249#494#2#0#0#0#
3,12,12,1#60#13#13#172#883#58#0#0#0#
3,12,13,0#0#0#1#1009#190#0#0#0#0#
3,12,14,0#0#0#0#1114#86#0#0#0#0#
3,12,15,0#0#14#33#1123#30#0#0#0#0#
3,12,16,0#76#38#41#899#146#0#0#0#0#
3,13,1,0#0#0#0#23#1137#40#0#0#0#
3,13,2,0#0#0#0#50#1110#40#0#0#0#
3,13,3,0#40#75#58#76#911#40#0#0#0#
3,13,4,0#0#0#0#19#1142#39#0#0#0#
3,13,5,0#0#0#0#16#1165#19#0#0#0#
3,13,6,0#0#0#0#30#1153#17#0#0#0#
3,13,7,0#208#273#50#86#559#24#0#0#0#
3,13,8,0#0#0#0#103#1057#40#0#0#0#
3,13,9,0#0#0#0#292#906#2#0#0#0#
3,13,10,0#0#0#2#279#905#14#0#0#0#
3,13,11,2#365#77#59#243#446#8#0#0#0#
3,13,12,0#38#10#3#169#912#68#0#0#0#
3,13,13,0#0#0#1#1000#199#0#0#0#0#
3,13,14,0#0#0#1#1108#91#0#0#0#0#
3,13,15,0#8#17#53#1092#30#0#0#0#0#
3,13,16,0#63#34#28#892#183#0#0#0#0#
3,14,1,0#0#0#0#6#1154#40#0#0#0#
3,14,2,0#0#0#0#21#1140#39#0#0#0#
3,14,3,0#37#103#55#57#908#40#0#0#0#
3,14,4,0#0#0#0#5#1155#40#0#0#0#
3,14,5,0#0#0#0#8#1174#18#0#0#0#
3,14,6,0#0#0#0#10#1183#7#0#0#0#
3,14,7,0#239#267#47#75#552#20#0#0#0#
3,14,8,0#0#0#0#30#1126#44#0#0#0#
3,14,9,0#0#0#0#214#980#6#0#0#0#
3,14,10,0#0#0#0#224#964#12#0#0#0#
3,14,11,0#322#89#70#206#489#24#0#0#0#
3,14,12,0#14#4#3#131#958#90#0#0#0#
3,14,13,0#0#0#0#970#230#0#0#0#0#
3,14,14,0#0#0#0#1114#86#0#0#0#0#
3,14,15,0#16#28#43#1064#49#0#0#0#0#
3,14,16,0#46#24#19#830#281#0#0#0#0#
3,15,1,0#0#0#0#16#1144#40#0#0#0#
3,15,2,0#0#0#0#17#1143#40#0#0#0#
3,15,3,0#36#109#63#56#894#41#1#0#0#
3,15,4,0#0#0#0#7#1153#40#0#0#0#
3,15,5,0#0#0#0#9#1170#21#0#0#0#
3,15,6,0#0#2#3#23#1163#9#0#0#0#
3,15,7,0#253#238#40#78#573#18#0#0#0#
3,15,8,0#0#0#0#54#1103#43#0#0#0#
3,15,9,0#0#0#0#210#985#5#0#0#0#
3,15,10,0#28#14#23#220#899#16#0#0#0#
3,15,11,0#329#64#47#200#525#35#0#0#0#
3,15,12,0#6#6#5#124#962#97#0#0#0#
3,15,13,0#0#0#0#975#225#0#0#0#0#
3,15,14,0#7#25#44#1048#76#0#0#0#0#
3,15,15,0#7#12#31#1089#61#0#0#0#0#
3,15,16,0#15#11#10#856#308#0#0#0#0#
3,16,1,0#0#0#0#13#1147#40#0#0#0#
3,16,2,0#0#0#3#21#1137#39#0#0#0#
3,16,3,0#38#112#55#44#910#41#0#0#0#
3,16,4,0#0#0#0#3#1157#40#0#0#0#
3,16,5,0#0#0#0#4#1167#29#0#0#0#
3,16,6,0#10#50#20#33#1063#24#0#0#0#
3,16,7,0#198#208#29#44#697#24#0#0#0#
3,16,8,0#0#0#0#28#1113#59#0#0#0#
3,16,9,0#0#0#0#145#1052#3#0#0#0#
3,16,10,0#119#37#31#179#821#13#0#0#0#
3,16,11,0#278#50#40#195#590#47#0#0#0#
3,16,12,0#0#0#0#83#1010#107#0#0#0#
3,16,13,0#0#0#0#945#255#0#0#0#0#
3,16,14,0#16#35#35#1063#51#0#0#0#0#
3,16,15,0#6#8#6#1096#84#0#0#0#0#
3,16,16,0#0#0#0#819#381#0#0#0#0#
3,17,1,0#0#0#0#12#1148#40#0#0#0#
3,17,2,0#24#64#24#43#1006#39#0#0#0#
3,17,3,0#14#30#27#36#1052#41#0#0#0#
3,17,4,0#0#0#0#1#1159#40#0#0#0#
3,17,5,0#0#0#0#8#1148#44#0#0#0#
3,17,6,0#110#141#21#30#864#34#0#0#0#
3,17,7,0#45#147#27#58#887#36#0#0#0#
3,17,8,0#0#0#0#27#1113#60#0#0#0#
3,17,9,0#0#0#0#146#1047#7#0#0#0#
3,17,10,0#176#40#29#185#750#20#0#0#0#
3,17,11,0#245#51#37#183#617#67#0#0#0#
3,17,12,0#0#0#0#79#983#138#0#0#0#
3,17,13,0#0#0#0#904#296#0#0#0#0#
3,17,14,0#24#38#44#1030#64#0#0#0#0#
3,17,15,0#0#4#6#1055#135#0#0#0#0#
3,17,16,0#0#0#0#747#453#0#0#0#0#
3,18,1,0#0#0#0#12#1148#40#0#0#0#
3,18,2,0#44#71#46#56#942#41#0#0#0#
3,18,3,0#0#0#0#14#1146#40#0#0#0#
3,18,4,0#0#0#0#0#1160#40#0#0#0#
3,18,5,0#0#0#0#7#1143#50#0#0#0#
3,18,6,0#104#286#37#45#700#28#0#0#0#
3,18,7,0#3#24#10#43#1081#39#0#0#0#
3,18,8,0#0#0#0#18#1112#70#0#0#0#
3,18,9,0#0#0#0#133#1059#8#0#0#0#
3,18,10,0#290#58#48#180#607#17#0#0#0#
3,18,11,3#123#42#32#154#763#83#0#0#0#
3,18,12,0#0#0#0#52#1004#144#0#0#0#
3,18,13,0#0#0#0#886#314#0#0#0#0#
3,18,14,1#43#47#31#1020#58#0#0#0#0#
3,18,15,0#0#0#4#1018#178#0#0#0#0#
3,18,16,0#0#0#0#732#468#0#0#0#0#
3,19,1,0#0#0#0#11#1149#40#0#0#0#
3,19,2,0#33#64#38#62#961#42#0#0#0#
3,19,3,0#0#0#0#14#1146#40#0#0#0#
3,19,4,0#0#0#0#0#1160#40#0#0#0#
3,19,5,0#0#0#0#7#1145#48#0#0#0#
3,19,6,0#79#294#55#56#691#25#0#0#0#
3,19,7,0#0#0#0#30#1131#39#0#0#0#
3,19,8,0#0#0#0#18#1112#70#0#0#0#
3,19,9,0#0#0#0#141#1046#13#0#0#0#
3,19,10,3#356#46#28#180#556#31#0#0#0#
3,19,11,0#33#33#31#144#867#92#0#0#0#
3,19,12,0#0#0#0#52#1004#144#0#0#0#
3,19,13,0#0#0#0#889#311#0#0#0#0#
3,19,14,0#68#33#29#1016#54#0#0#0#0#
3,19,15,0#0#0#0#961#239#0#0#0#0#
3,19,16,0#0#0#0#726#474#0#0#0#0#
3,20,1,0#0#0#0#7#1153#40#0#0#0#
3,20,2,0#33#62#35#45#983#42#0#0#0#
3,20,3,0#0#0#0#10#1148#42#0#0#0#
3,20,4,0#0#0#0#0#1160#40#0#0#0#
3,20,5,0#0#0#0#5#1145#50#0#0#0#
3,20,6,0#76#252#67#55#725#24#1#0#0#
3,20,7,0#0#0#0#20#1144#36#0#0#0#
3,20,8,0#0#0#0#15#1108#77#0#0#0#
3,20,9,0#0#0#0#107#1086#7#0#0#0#
3,20,10,0#326#73#61#186#520#34#0#0#0#
3,20,11,0#0#0#0#114#978#108#0#0#0#
3,20,12,0#0#0#1#29#1005#165#0#0#0#
3,20,13,0#0#0#0#923#277#0#0#0#0#
3,20,14,0#69#32#35#1005#59#0#0#0#0#
3,20,15,0#0#0#0#877#323#0#0#0#0#
3,20,16,0#0#0#0#656#544#0#0#0#0#
3,21,1,0#0#0#0#6#1154#40#0#0#0#
3,21,2,0#32#61#38#46#982#41#0#0#0#
3,21,3,0#0#0#0#9#1149#42#0#0#0#
3,21,4,0#0#0#0#0#1160#40#0#0#0#
3,21,5,0#0#0#0#5#1143#52#0#0#0#
3,21,6,0#113#236#60#60#703#26#2#0#0#
3,21,7,0#0#0#0#21#1145#34#0#0#0#
3,21,8,0#0#0#0#16#1113#71#0#0#0#
3,21,9,0#3#3#8#125#1053#8#0#0#0#
3,21,10,0#356#74#39#160#542#29#0#0#0#
3,21,11,0#0#0#0#114#974#112#0#0#0#
3,21,12,0#0#0#1#34#1003#162#0#0#0#
3,21,13,0#0#0#0#930#270#0#0#0#0#
3,21,14,0#72#34#29#1001#64#0#0#0#0#
3,21,15,0#0#0#0#848#352#0#0#0#0#
3,21,16,0#0#0#0#647#553#0#0#0#0#
3,22,1,0#0#0#0#6#1154#40#0#0#0#
3,22,2,0#32#69#44#40#973#42#0#0#0#
3,22,3,0#0#0#0#7#1152#41#0#0#0#
3,22,4,0#0#0#0#0#1158#42#0#0#0#
3,22,5,1#9#13#9#27#1087#53#1#0#0#
3,22,6,0#171#202#42#38#721#24#2#0#0#
3,22,7,0#0#0#0#15#1141#44#0#0#0#
3,22,8,0#0#0#0#8#1116#76#0#0#0#
3,22,9,0#115#25#14#151#885#10#0#0#0#
3,22,10,0#241#113#36#110#664#36#0#0#0#
3,22,11,0#0#0#0#82#993#125#0#0#0#
3,22,12,0#0#0#0#45#965#190#0#0#0#
3,22,13,0#0#0#0#1009#191#0#0#0#0#
3,22,14,0#62#32#55#923#128#0#0#0#0#
3,22,15,0#0#0#0#779#421#0#0#0#0#
3,22,16,0#0#0#0#601#598#1#0#0#0#
3,23,1,0#11#53#30#29#1035#42#0#0#0#
3,23,2,0#17#42#16#35#1050#40#0#0#0#
3,23,3,0#0#0#0#7#1152#41#0#0#0#
3,23,4,0#0#0#0#0#1158#42#0#0#0#
3,23,5,1#122#80#28#38#885#42#4#0#0#
3,23,6,0#112#123#26#23#882#34#0#0#0#
3,23,7,0#0#0#0#15#1141#44#0#0#0#
3,23,8,0#0#0#0#8#1116#76#0#0#0#
3,23,9,0#141#79#61#162#748#9#0#0#0#
3,23,10,0#209#26#20#124#778#43#0#0#0#
3,23,11,0#0#0#0#82#997#121#0#0#0#
3,23,12,0#0#0#0#45#965#190#0#0#0#
3,23,13,0#0#20#20#985#175#0#0#0#0#
